| table_name                 | column_name                  | ordinal_position | data_type                | full_data_type           | is_nullable | column_default                                                                                                                                              |
| engagement_agreements      | link_sent_at                 | 19               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| engagement_agreements      | link_sent_to                 | 20               | text                     | text                     | YES         | null                                                                                                                                                        |
| expenses                   | id                           | 1                | uuid                     | uuid                     | NO          | uuid_generate_v4()                                                                                                                                          |
| expenses                   | matter_id                    | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| expenses                   | advocate_id                  | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| expenses                   | description                  | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| expenses                   | amount                       | 5                | numeric                  | numeric(12,2)            | NO          | null                                                                                                                                                        |
| expenses                   | expense_date                 | 6                | date                     | date                     | NO          | CURRENT_DATE                                                                                                                                                |
| expenses                   | category                     | 7                | text                     | text                     | YES         | null                                                                                                                                                        |
| expenses                   | is_billed                    | 8                | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| expenses                   | invoice_id                   | 9                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| expenses                   | receipt_url                  | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| expenses                   | created_at                   | 11               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| expenses                   | updated_at                   | 12               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| invoices                   | id                           | 1                | uuid                     | uuid                     | NO          | uuid_generate_v4()                                                                                                                                          |
| invoices                   | invoice_number               | 2                | text                     | text                     | YES         | null                                                                                                                                                        |
| invoices                   | matter_id                    | 3                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| invoices                   | advocate_id                  | 4                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| invoices                   | invoice_date                 | 5                | date                     | date                     | NO          | CURRENT_DATE                                                                                                                                                |
| invoices                   | due_date                     | 6                | date                     | date                     | NO          | null                                                                                                                                                        |
| invoices                   | fees_amount                  | 7                | numeric                  | numeric(12,2)            | YES         | 0                                                                                                                                                           |
| invoices                   | disbursements_amount         | 8                | numeric                  | numeric(12,2)            | YES         | 0                                                                                                                                                           |
| invoices                   | vat_rate                     | 9                | numeric                  | numeric(5,4)             | YES         | 0.15                                                                                                                                                        |
| invoices                   | subtotal                     | 10               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| invoices                   | vat_amount                   | 11               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| invoices                   | total_amount                 | 12               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| invoices                   | amount_paid                  | 13               | numeric                  | numeric(12,2)            | YES         | 0                                                                                                                                                           |
| invoices                   | balance_due                  | 14               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| invoices                   | status                       | 15               | USER-DEFINED             | USER-DEFINED             | YES         | 'draft'::invoice_status                                                                                                                                     |
| invoices                   | is_pro_forma                 | 16               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| invoices                   | fee_narrative                | 17               | text                     | text                     | YES         | null                                                                                                                                                        |
| invoices                   | internal_notes               | 18               | text                     | text                     | YES         | null                                                                                                                                                        |
| invoices                   | source_proforma_id           | 19               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| invoices                   | sent_at                      | 20               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| invoices                   | paid_at                      | 21               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| invoices                   | created_at                   | 22               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| invoices                   | updated_at                   | 23               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| invoices                   | bar                          | 24               | USER-DEFINED             | USER-DEFINED             | YES         | null                                                                                                                                                        |
| invoices                   | reminders_sent               | 25               | integer                  | integer(32,0)            | YES         | 0                                                                                                                                                           |
| invoices                   | reminder_history             | 26               | jsonb                    | jsonb                    | YES         | '[]'::jsonb                                                                                                                                                 |
| invoices                   | invoice_type                 | 27               | text                     | text                     | YES         | 'final'::text                                                                                                                                               |
| invoices                   | invoice_sequence             | 28               | integer                  | integer(32,0)            | YES         | null                                                                                                                                                        |
| invoices                   | billing_period_start         | 29               | date                     | date                     | YES         | null                                                                                                                                                        |
| invoices                   | billing_period_end           | 30               | date                     | date                     | YES         | null                                                                                                                                                        |
| invoices                   | milestone_description        | 31               | text                     | text                     | YES         | null                                                                                                                                                        |
| invoices                   | payment_status               | 32               | text                     | text                     | YES         | 'pending'::text                                                                                                                                             |
| invoices                   | written_off_amount           | 33               | numeric                  | numeric(15,2)            | YES         | null                                                                                                                                                        |
| invoices                   | written_off_at               | 34               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| invoices                   | written_off_by               | 35               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| invoices                   | partner_approved_by          | 36               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| invoices                   | partner_approved_at          | 37               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| invoices                   | deleted_at                   | 38               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matter_services            | matter_id                    | 1                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| matter_services            | service_id                   | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| matter_services            | created_at                   | 3                | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| matters                    | id                           | 1                | uuid                     | uuid                     | NO          | uuid_generate_v4()                                                                                                                                          |
| matters                    | reference_number             | 2                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | title                        | 3                | text                     | text                     | NO          | null                                                                                                                                                        |
| matters                    | description                  | 4                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | matter_type                  | 5                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | court_case_number            | 6                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | client_name                  | 7                | text                     | text                     | NO          | null                                                                                                                                                        |
| matters                    | client_email                 | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | client_phone                 | 9                | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | client_address               | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | client_type                  | 11               | USER-DEFINED             | USER-DEFINED             | YES         | 'individual'::client_type                                                                                                                                   |
| matters                    | instructing_attorney         | 12               | text                     | text                     | NO          | null                                                                                                                                                        |
| matters                    | instructing_attorney_email   | 13               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | instructing_attorney_phone   | 14               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | instructing_firm             | 15               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | instructing_firm_ref         | 16               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | fee_type                     | 17               | USER-DEFINED             | USER-DEFINED             | YES         | 'hourly'::fee_type                                                                                                                                          |
| matters                    | estimated_fee                | 18               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| matters                    | fee_cap                      | 19               | numeric                  | numeric(12,2)            | YES         | null                                                                                                                                                        |
| matters                    | risk_level                   | 20               | USER-DEFINED             | USER-DEFINED             | YES         | 'medium'::risk_level                                                                                                                                        |
| matters                    | settlement_probability       | 21               | integer                  | integer(32,0)            | YES         | null                                                                                                                                                        |
| matters                    | expected_completion_date     | 22               | date                     | date                     | YES         | null                                                                                                                                                        |
| matters                    | status                       | 23               | USER-DEFINED             | USER-DEFINED             | YES         | 'active'::matter_status                                                                                                                                     |
| matters                    | wip_value                    | 24               | numeric                  | numeric(12,2)            | YES         | 0                                                                                                                                                           |
| matters                    | advocate_id                  | 25               | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| matters                    | source_proforma_id           | 26               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| matters                    | is_prepopulated              | 27               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| matters                    | tags                         | 28               | ARRAY                    | ARRAY                    | YES         | null                                                                                                                                                        |
| matters                    | created_at                   | 29               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| matters                    | updated_at                   | 30               | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| matters                    | closed_at                    | 31               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | date_instructed              | 32               | date                     | date                     | NO          | CURRENT_DATE                                                                                                                                                |
| matters                    | state                        | 33               | text                     | text                     | YES         | 'active'::text                                                                                                                                              |
| matters                    | court_date                   | 34               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | paused_reason                | 35               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | paused_at                    | 36               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | is_urgent                    | 37               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| matters                    | urgency_reason               | 38               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | pro_forma_waived             | 39               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| matters                    | estimated_total              | 40               | numeric                  | numeric(15,2)            | YES         | null                                                                                                                                                        |
| matters                    | completion_status            | 41               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | billing_ready_at             | 42               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | billing_review_notes         | 43               | text                     | text                     | YES         | null                                                                                                                                                        |
| matters                    | partner_approved_by          | 44               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| matters                    | partner_approved_at          | 45               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | engagement_agreement_id      | 46               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| matters                    | agreed_fee_cap               | 47               | numeric                  | numeric(15,2)            | YES         | null                                                                                                                                                        |
| matters                    | agreed_hourly_rate           | 48               | numeric                  | numeric(10,2)            | YES         | null                                                                                                                                                        |
| matters                    | agreed_timeline_days         | 49               | integer                  | integer(32,0)            | YES         | null                                                                                                                                                        |
| matters                    | deleted_at                   | 50               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| matters                    | instructing_attorney_user_id | 51               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| matters                    | billing_status               | 52               | text                     | text                     | YES         | 'pending'::text                                                                                                                                             |
| matters                    | user_id                      | 53               | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| notifications              | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| notifications              | recipient_type               | 2                | text                     | text                     | NO          | null                                                                                                                                                        |
| notifications              | recipient_id                 | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| notifications              | notification_type            | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| notifications              | title                        | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| notifications              | message                      | 6                | text                     | text                     | NO          | null                                                                                                                                                        |
| notifications              | related_matter_id            | 7                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| notifications              | related_invoice_id           | 8                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| notifications              | related_proforma_id          | 9                | uuid                     | uuid                     | YES         | null                                                                                                                                                        |
| notifications              | channels                     | 10               | jsonb                    | jsonb                    | YES         | '["in_app"]'::jsonb                                                                                                                                         |
| notifications              | sent_at                      | 11               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| notifications              | read_at                      | 12               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| notifications              | email_sent                   | 13               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| notifications              | email_sent_at                | 14               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| notifications              | sms_sent                     | 15               | boolean                  | boolean                  | YES         | false                                                                                                                                                       |
| notifications              | sms_sent_at                  | 16               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| notifications              | metadata                     | 17               | jsonb                    | jsonb                    | YES         | null                                                                                                                                                        |
| notifications              | created_at                   | 18               | timestamp with time zone | timestamp with time zone | NO          | now()                                                                                                                                                       |
| partner_approvals          | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| partner_approvals          | matter_id                    | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| partner_approvals          | partner_id                   | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| partner_approvals          | status                       | 4                | text                     | text                     | YES         | 'pending'::text                                                                                                                                             |
| partner_approvals          | comments                     | 5                | text                     | text                     | YES         | null                                                                                                                                                        |
| partner_approvals          | checklist                    | 6                | jsonb                    | jsonb                    | YES         | null                                                                                                                                                        |
| partner_approvals          | approved_at                  | 7                | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
| partner_approvals          | created_at                   | 8                | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| partner_approvals          | updated_at                   | 9                | timestamp with time zone | timestamp with time zone | YES         | now()                                                                                                                                                       |
| payment_disputes           | id                           | 1                | uuid                     | uuid                     | NO          | gen_random_uuid()                                                                                                                                           |
| payment_disputes           | invoice_id                   | 2                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| payment_disputes           | advocate_id                  | 3                | uuid                     | uuid                     | NO          | null                                                                                                                                                        |
| payment_disputes           | dispute_reason               | 4                | text                     | text                     | NO          | null                                                                                                                                                        |
| payment_disputes           | dispute_type                 | 5                | text                     | text                     | NO          | null                                                                                                                                                        |
| payment_disputes           | disputed_amount              | 6                | numeric                  | numeric(15,2)            | YES         | null                                                                                                                                                        |
| payment_disputes           | client_notes                 | 7                | text                     | text                     | YES         | null                                                                                                                                                        |
| payment_disputes           | advocate_response            | 8                | text                     | text                     | YES         | null                                                                                                                                                        |
| payment_disputes           | evidence_urls                | 9                | ARRAY                    | ARRAY                    | YES         | null                                                                                                                                                        |
| payment_disputes           | resolution_type              | 10               | text                     | text                     | YES         | null                                                                                                                                                        |
| payment_disputes           | resolution_notes             | 11               | text                     | text                     | YES         | null                                                                                                                                                        |
| payment_disputes           | resolved_at                  | 12               | timestamp with time zone | timestamp with time zone | YES         | null                                                                                                                                                        |
